survey_id,response,question_code
72,18,corn_acres
1358,33,corn_acres
1123,400,corn_acres
576,265,corn_acres
1001,1230,corn_acres
140,650,corn_acres
1393,370,corn_acres
967,3,corn_acres
39,60,corn_acres
265,250,corn_acres
410,65,corn_acres
949,130,corn_acres
1085,80,corn_acres
1111,44,corn_acres
1167,20,corn_acres
1278,NA,corn_acres
1290,7,corn_acres
1376,NA,corn_acres
1394,NA,corn_acres
25,65,corn_acres
107,6,corn_acres
151,42,corn_acres
158,90,corn_acres
178,0,corn_acres
311,0,corn_acres
554,80,corn_acres
581,250,corn_acres
609,140,corn_acres
640,108,corn_acres
650,9,corn_acres
681,210,corn_acres
746,400,corn_acres
821,40,corn_acres
900,70,corn_acres
1122,55,corn_acres
1389,40,corn_acres
36,0,corn_acres
37,145,corn_acres
193,150,corn_acres
431,64,corn_acres
511,80,corn_acres
590,46,corn_acres
714,0,corn_acres
729,60,corn_acres
735,185,corn_acres
768,100,corn_acres
791,75,corn_acres
793,850,corn_acres
806,800,corn_acres
813,10,corn_acres
832,300,corn_acres
860,20,corn_acres
903,200,corn_acres
997,165,corn_acres
1035,35,corn_acres
1059,NA,corn_acres
1065,150,corn_acres
1120,115,corn_acres
1162,132,corn_acres
1166,95,corn_acres
1170,170,corn_acres
1216,850,corn_acres
1288,110,corn_acres
1384,180,corn_acres
13,300,corn_acres
103,0,corn_acres
661,83,corn_acres
868,600,corn_acres
941,20,corn_acres
1051,NA,corn_acres
1079,0,corn_acres
812,10,corn_acres
1348,100,corn_acres
842,0,corn_acres
296,10,corn_acres
495,16,corn_acres
841,NA,corn_acres
852,20,corn_acres
1233,1200,corn_acres
642,0,corn_acres
748,400,corn_acres
818,100,corn_acres
1337,130,corn_acres
1360,24,corn_acres
1073,189,corn_acres
1274,1400,corn_acres
1041,750,corn_acres
683,15,corn_acres
1121,225,corn_acres
588,65,corn_acres
1100,200,corn_acres
1331,1220,corn_acres
892,250,corn_acres
446,125,corn_acres
583,220,corn_acres
926,750,corn_acres
442,0,corn_acres
1232,90,corn_acres
1237,500,corn_acres
1293,400,corn_acres
57,160,corn_acres
964,360,corn_acres
1244,400,corn_acres
478,1400,corn_acres
18,45,corn_acres
1200,120,corn_acres
946,0,corn_acres
947,NA,corn_acres
1294,65,corn_acres
337,0,corn_acres
933,17,corn_acres
948,250,corn_acres
1365,90,corn_acres
911,1300,corn_acres
1246,300,corn_acres
200,315,corn_acres
773,1500,corn_acres
44,7,corn_acres
152,310,corn_acres
1229,230,corn_acres
1251,100,corn_acres
1308,600,corn_acres
450,100,corn_acres
288,150,corn_acres
1342,16,corn_acres
407,122,corn_acres
513,200,corn_acres
1160,3700,corn_acres
1217,700,corn_acres
1370,800,corn_acres
1364,120,corn_acres
517,500,corn_acres
629,55,corn_acres
547,250,corn_acres
747,18,corn_acres
256,0,corn_acres
752,300,corn_acres
1361,33,corn_acres
30,450,corn_acres
608,1200,corn_acres
769,79,corn_acres
685,72,corn_acres
1145,30,corn_acres
1240,300,corn_acres
1202,200,corn_acres
1203,2200,corn_acres
792,100,corn_acres
399,700,corn_acres
177,145,corn_acres
375,70,corn_acres
989,400,corn_acres
535,84,corn_acres
437,21,corn_acres
130,20,corn_acres
1345,85,corn_acres
1046,118,corn_acres
871,580,corn_acres
428,5,corn_acres
1341,0,corn_acres
365,50,corn_acres
830,600,corn_acres
1282,1000,corn_acres
2,980,corn_acres
188,135,corn_acres
774,1000,corn_acres
516,491,corn_acres
1154,380,corn_acres
240,0,corn_acres
183,NA,corn_acres
1078,1500,corn_acres
969,3000,corn_acres
776,300,corn_acres
766,178,corn_acres
962,150,corn_acres
856,400,corn_acres
886,72,corn_acres
1088,350,corn_acres
1227,1730,corn_acres
114,9,corn_acres
622,25,corn_acres
674,500,corn_acres
789,300,corn_acres
255,170,corn_acres
567,70,corn_acres
1030,625,corn_acres
507,350,corn_acres
1165,15,corn_acres
1039,2350,corn_acres
249,70,corn_acres
638,100,corn_acres
1346,40,corn_acres
991,50,corn_acres
218,51,corn_acres
693,950,corn_acres
1260,82,corn_acres
606,NA,corn_acres
93,250,corn_acres
1263,300,corn_acres
945,100,corn_acres
709,325,corn_acres
1149,300,corn_acres
51,40,corn_acres
528,220,corn_acres
602,NA,corn_acres
742,58,corn_acres
493,400,corn_acres
1223,125,corn_acres
